entry_time,exit_time,side,oz,entry_px,exit_px,entry_reason,exit_reason,gross_pnl,costs,net_pnl,bars_held
2024-11-13 13:35:00+00:00,2024-11-13 20:30:00+00:00,long,1.0,2612.05,2575.85,signal,signal,-36.20000000000027,0.16,-36.36000000000027,83
2024-11-18 13:35:00+00:00,2024-11-18 20:30:00+00:00,long,1.0,2601.45,2610.36,signal,signal,8.91000000000031,0.16,8.750000000000309,83
2024-11-20 13:05:00+00:00,2024-11-20 20:00:00+00:00,long,1.0,2632.98,2650.92,signal,signal,17.940000000000055,0.16,17.780000000000058,83
2024-11-26 13:10:00+00:00,2024-11-26 20:05:00+00:00,long,1.0,2638.75,2628.75,signal,signal,-10.0,0.16,-10.16,83
2024-12-02 20:35:00+00:00,2024-12-02 20:45:00+00:00,long,1.0,2643.61,2641.67,signal,signal,-1.9400000000000546,0.16,-2.1000000000000547,2
2024-12-03 00:05:00+00:00,2024-12-03 04:35:00+00:00,long,1.0,2642.55,2641.71,signal,signal,-0.8400000000001455,0.16,-1.0000000000001454,54
2024-12-03 13:50:00+00:00,2024-12-03 20:45:00+00:00,long,1.0,2650.09,2642.82,signal,signal,-7.269999999999982,0.16,-7.429999999999982,83
2024-12-09 14:45:00+00:00,2024-12-09 20:45:00+00:00,long,1.0,2672.5,2657.91,signal,signal,-14.590000000000146,0.16,-14.750000000000146,72
2024-12-20 15:25:00+00:00,2024-12-20 20:35:00+00:00,long,1.0,2624.98,2625.39,signal,signal,0.4099999999998545,0.16,0.24999999999985445,62
2024-12-24 17:30:00+00:00,2024-12-25 23:05:00+00:00,long,1.0,2619.21,2616.83,signal,session,-2.380000000000109,0.16,-2.5400000000001093,15
2024-12-26 00:05:00+00:00,2024-12-26 04:45:00+00:00,long,1.0,2619.12,2628.77,signal,signal,9.650000000000091,0.16,9.49000000000009,56
2024-12-26 15:10:00+00:00,2024-12-26 20:45:00+00:00,long,1.0,2633.52,2634.32,signal,signal,0.8000000000001819,0.16,0.640000000000182,67
2024-12-31 14:40:00+00:00,2024-12-31 20:45:00+00:00,long,1.0,2616.66,2622.78,signal,signal,6.120000000000346,0.16,5.9600000000003455,73
2025-01-07 13:05:00+00:00,2025-01-07 20:00:00+00:00,long,1.0,2652.94,2649.35,signal,signal,-3.5900000000001455,0.16,-3.7500000000001457,83
2025-01-14 19:40:00+00:00,2025-01-14 20:45:00+00:00,long,1.0,2676.0,2673.71,signal,signal,-2.2899999999999636,0.16,-2.4499999999999638,13
2025-01-15 00:05:00+00:00,2025-01-15 03:40:00+00:00,long,1.0,2675.08,2675.72,signal,signal,0.6399999999998727,0.16,0.4799999999998727,43
2025-01-15 13:35:00+00:00,2025-01-15 20:30:00+00:00,long,1.0,2687.75,2695.54,signal,signal,7.789999999999964,0.16,7.6299999999999635,83
2025-01-16 13:35:00+00:00,2025-01-16 20:30:00+00:00,long,1.0,2713.58,2715.66,signal,signal,2.0799999999999272,0.16,1.919999999999927,83
2025-01-22 08:00:00+00:00,2025-01-22 14:55:00+00:00,short,1.0,2748.72,2755.53,signal,signal,-6.8100000000004,0.16,-6.9700000000004,83
2025-01-22 15:05:00+00:00,2025-01-22 20:45:00+00:00,short,1.0,2752.7,2755.95,signal,signal,-3.25,0.16,-3.41,68
2025-01-23 08:30:00+00:00,2025-01-23 15:25:00+00:00,short,1.0,2754.15,2744.83,signal,signal,9.320000000000164,0.16,9.160000000000164,83
2025-01-24 08:20:00+00:00,2025-01-24 15:15:00+00:00,short,1.0,2770.9,2783.4,signal,signal,-12.5,0.16,-12.66,83
2025-01-27 07:00:00+00:00,2025-01-27 13:55:00+00:00,short,1.0,2754.71,2756.96,signal,signal,-2.25,0.16,-2.41,83
2025-01-27 14:00:00+00:00,2025-01-27 20:45:00+00:00,short,1.0,2757.27,2741.59,signal,signal,15.679999999999836,0.16,15.519999999999836,81
2025-01-30 13:05:00+00:00,2025-01-30 20:00:00+00:00,long,1.0,2782.23,2793.4,signal,signal,11.170000000000073,0.16,11.010000000000073,83
2025-01-31 07:15:00+00:00,2025-01-31 14:10:00+00:00,short,1.0,2796.05,2805.22,signal,signal,-9.169999999999618,0.16,-9.329999999999618,83
2025-01-31 15:15:00+00:00,2025-01-31 20:35:00+00:00,long,1.0,2815.35,2796.63,signal,signal,-18.7199999999998,0.16,-18.879999999999797,64
2025-02-03 13:05:00+00:00,2025-02-03 20:00:00+00:00,long,1.0,2809.87,2818.31,signal,signal,8.440000000000055,0.16,8.280000000000054,83
2025-02-04 13:25:00+00:00,2025-02-04 20:20:00+00:00,long,1.0,2832.27,2841.75,signal,signal,9.480000000000018,0.16,9.320000000000018,83
2025-02-05 12:35:00+00:00,2025-02-05 19:30:00+00:00,short,1.0,2869.91,2866.97,signal,signal,2.9400000000000546,0.16,2.7800000000000544,83
2025-02-06 08:35:00+00:00,2025-02-06 15:30:00+00:00,short,1.0,2852.69,2844.77,signal,signal,7.920000000000073,0.16,7.760000000000073,83
2025-02-06 15:40:00+00:00,2025-02-06 20:10:00+00:00,short,1.0,2849.04,2856.9,signal,signal,-7.860000000000127,0.16,-8.020000000000127,54
2025-02-06 20:10:00+00:00,2025-02-06 20:45:00+00:00,long,1.0,2856.9,2855.65,signal,signal,-1.25,0.16,-1.4100000000000001,7
2025-02-07 00:05:00+00:00,2025-02-07 04:10:00+00:00,long,1.0,2859.33,2868.13,signal,signal,8.800000000000182,0.16,8.640000000000182,49
2025-02-07 07:00:00+00:00,2025-02-07 13:55:00+00:00,short,1.0,2860.7,2862.05,signal,signal,-1.3500000000003638,0.16,-1.510000000000364,83
2025-02-11 08:10:00+00:00,2025-02-11 15:05:00+00:00,short,1.0,2912.48,2892.89,signal,signal,19.590000000000146,0.16,19.43000000000015,83
2025-02-12 16:40:00+00:00,2025-02-12 17:15:00+00:00,short,1.0,2896.4,2908.76,signal,signal,-12.360000000000127,0.16,-12.520000000000127,7
2025-02-12 17:15:00+00:00,2025-02-12 20:45:00+00:00,long,1.0,2908.76,2900.6,signal,signal,-8.16000000000031,0.16,-8.32000000000031,42
2025-02-13 00:05:00+00:00,2025-02-13 01:15:00+00:00,long,1.0,2906.86,2905.67,signal,signal,-1.1900000000000546,0.16,-1.3500000000000547,14
2025-02-13 07:30:00+00:00,2025-02-13 14:25:00+00:00,short,1.0,2916.27,2912.38,signal,signal,3.8899999999998727,0.16,3.7299999999998725,83
