kind,factor,side,win,thr,hold,spec,res_sharpe,res_pnl,res_trades,res_avg,res_pf,res_maxdd,f1_train_sharpe,f1_train_trades,f1_train_avg,f1_test_sharpe,f1_test_pnl,f1_test_trades,f1_test_avg,f1_test_pf,f2_train_sharpe,f2_train_trades,f2_train_avg,f2_test_sharpe,f2_test_pnl,f2_test_trades,f2_test_avg,f2_test_pf,f3_train_sharpe,f3_train_trades,f3_train_avg,f3_test_sharpe,f3_test_pnl,f3_test_trades,f3_test_avg,f3_test_pf,f4_train_sharpe,f4_train_trades,f4_train_avg,f4_test_sharpe,f4_test_pnl,f4_test_trades,f4_test_avg,f4_test_pf
single,plus_di_14,short,8640,2.0,84,single|plus_di_14|short|W8640|T2|H84,-0.98,-83583.0,283,-295.35,0.729,-98006.0,-2.41,40,-257.6,-1.11,-8706.0,62,-140.42,0.76,-1.52,102,-186.37,-0.32,-2598.0,65,-39.97,0.931,-1.04,167,-129.39,-0.16,-1699.0,51,-33.31,0.952,-0.73,218,-106.91,-1.73,-60276.0,65,-927.32,0.658
single,plus_di_14,short,8640,2.0,120,single|plus_di_14|short|W8640|T2|H120,-0.63,-59875.0,269,-222.58,0.793,-93263.0,-2.01,39,-249.64,-0.41,-3511.0,60,-58.52,0.905,-0.96,99,-133.81,-0.41,-3625.0,61,-59.43,0.898,-0.74,160,-105.45,0.09,1116.0,49,22.78,1.029,-0.44,209,-75.39,-1.15,-44119.0,60,-735.32,0.712
single,gap_pct,long,4032,1.25,24,single|gap_pct|long|W4032|T1.25|H24,0.29,22337.0,407,54.88,1.097,-38728.0,-0.72,58,-31.19,-3.13,-16541.0,59,-280.36,0.434,-2.23,117,-156.84,0.39,2024.0,94,21.53,1.084,-1.21,211,-77.37,2.27,12231.0,46,265.89,1.837,-0.22,257,-15.93,0.8,26432.0,150,176.21,1.175
single,gap_pct,long,4032,1.25,36,single|gap_pct|long|W4032|T1.25|H36,0.19,15949.0,376,42.42,1.065,-56957.0,-0.12,55,-6.22,-2.06,-12414.0,55,-225.71,0.58,-1.35,110,-115.96,1.97,11359.0,86,132.08,1.526,-0.09,196,-7.13,2.0,12180.0,44,276.82,1.835,0.5,240,44.93,0.14,5166.0,136,37.99,1.031
single,gap_pct,long,4032,1.25,84,single|gap_pct|long|W4032|T1.25|H84,0.83,82194.0,312,263.44,1.373,-42136.0,-0.24,48,-18.79,-1.13,-8006.0,48,-166.79,0.726,-0.79,96,-92.79,0.89,6592.0,74,89.08,1.253,-0.12,170,-13.62,1.59,11924.0,38,313.79,1.709,0.36,208,46.19,1.7,72586.0,104,697.94,1.543
single,gap_pct,long,4032,1.25,120,single|gap_pct|long|W4032|T1.25|H120,0.45,45613.0,290,157.29,1.186,-49686.0,-0.33,45,-29.16,-0.65,-4943.0,45,-109.84,0.837,-0.52,90,-69.5,0.76,5960.0,68,87.65,1.24,-0.01,158,-1.87,0.9,7548.0,38,198.63,1.321,0.25,196,37.01,0.89,38360.0,94,408.09,1.251
single,gap_pct,short,4032,1.25,24,single|gap_pct|short|W4032|T1.25|H24,0.08,6072.0,393,15.45,1.03,-54363.0,1.13,68,48.94,0.16,915.0,77,11.88,1.036,0.48,145,29.26,-0.98,-5187.0,93,-55.77,0.817,-0.07,238,-3.97,-2.53,-14858.0,40,-371.45,0.409,-0.78,278,-56.84,0.7,21874.0,115,190.21,1.199
single,gap_pct,short,4032,1.25,36,single|gap_pct|short|W4032|T1.25|H36,0.04,3189.0,365,8.74,1.015,-55096.0,1.43,63,75.24,-0.12,-746.0,73,-10.22,0.972,0.41,136,29.37,-1.54,-8896.0,82,-108.49,0.712,-0.31,218,-22.49,-0.87,-5961.0,38,-156.87,0.77,-0.48,256,-42.43,0.4,14052.0,109,128.92,1.117
single,gap_pct,short,4032,1.25,84,single|gap_pct|short|W4032|T1.25|H84,0.23,21158.0,303,69.83,1.097,-47701.0,1.53,50,124.64,-1.59,-12425.0,64,-194.14,0.696,-0.5,114,-54.32,-0.83,-5946.0,71,-83.75,0.816,-0.62,185,-65.62,1.09,8877.0,34,261.09,1.456,-0.12,219,-14.89,0.62,24420.0,84,290.71,1.216
single,gap_pct,short,4032,1.25,120,single|gap_pct|short|W4032|T1.25|H120,0.31,30381.0,280,108.5,1.135,-45973.0,1.82,45,178.56,-0.26,-2110.0,60,-35.17,0.943,0.45,105,56.43,-1.25,-9584.0,65,-147.45,0.739,-0.18,170,-21.52,0.22,1899.0,32,59.34,1.077,-0.06,202,-8.71,0.78,32141.0,78,412.06,1.288
