key,method,N,W,T,V,H,regime,session,exit,pnl,sharpe,trades,avg
vote:N5:W288:T1.5:V2:H24:trend_adx:london:trail2,vote,5,288,1.5,2,24,trend_adx,london,trail2,436.68000000000393,0.7453288022538189,1669,0.5232834032354751
vote:N5:W288:T1.5:V2:H24:trend_adx:new_york:none,vote,5,288,1.5,2,24,trend_adx,new_york,none,727.9600000000011,1.3056048740798014,1170,1.2443760683760703
vote:N5:W288:T1.5:V2:H24:trend_adx:new_york:stop1_5,vote,5,288,1.5,2,24,trend_adx,new_york,stop1_5,727.9600000000011,1.3056048740798014,1170,1.2443760683760703
vote:N5:W288:T1.5:V2:H24:trend_adx:new_york:trail2,vote,5,288,1.5,2,24,trend_adx,new_york,trail2,727.9600000000011,1.3056048740798014,1170,1.2443760683760703
vote:N5:W288:T1.5:V2:H24:trend_adx:overlap:none,vote,5,288,1.5,2,24,trend_adx,overlap,none,695.5100000000049,1.5745673617005027,707,1.9674964639321213
vote:N5:W288:T1.5:V2:H24:trend_adx:overlap:stop1_5,vote,5,288,1.5,2,24,trend_adx,overlap,stop1_5,695.5100000000049,1.5745673617005027,707,1.9674964639321213
vote:N5:W288:T1.5:V2:H24:trend_adx:overlap:trail2,vote,5,288,1.5,2,24,trend_adx,overlap,trail2,695.5100000000049,1.5745673617005027,707,1.9674964639321213
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:all:none,vote,5,288,1.5,2,24,trend_not_choppy,all,none,868.0000000000041,0.9023403314778607,4970,0.34929577464788897
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:all:stop1_5,vote,5,288,1.5,2,24,trend_not_choppy,all,stop1_5,868.0000000000041,0.9023403314778607,4970,0.34929577464788897
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:all:trail2,vote,5,288,1.5,2,24,trend_not_choppy,all,trail2,868.0000000000041,0.9023403314778607,4970,0.34929577464788897
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:london:none,vote,5,288,1.5,2,24,trend_not_choppy,london,none,397.7400000000032,0.5895317083618417,2157,0.36878998609179714
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:london:stop1_5,vote,5,288,1.5,2,24,trend_not_choppy,london,stop1_5,397.7400000000032,0.5895317083618417,2157,0.36878998609179714
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:london:trail2,vote,5,288,1.5,2,24,trend_not_choppy,london,trail2,397.7400000000032,0.5895317083618417,2157,0.36878998609179714
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:new_york:none,vote,5,288,1.5,2,24,trend_not_choppy,new_york,none,381.60000000000116,0.5904130105768222,1663,0.45892964521948426
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:new_york:stop1_5,vote,5,288,1.5,2,24,trend_not_choppy,new_york,stop1_5,381.60000000000116,0.5904130105768222,1663,0.45892964521948426
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:new_york:trail2,vote,5,288,1.5,2,24,trend_not_choppy,new_york,trail2,381.60000000000116,0.5904130105768222,1663,0.45892964521948426
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:overlap:none,vote,5,288,1.5,2,24,trend_not_choppy,overlap,none,178.930000000004,0.35181892210610866,839,0.4265315852205101
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:overlap:stop1_5,vote,5,288,1.5,2,24,trend_not_choppy,overlap,stop1_5,178.930000000004,0.35181892210610866,839,0.4265315852205101
vote:N5:W288:T1.5:V2:H24:trend_not_choppy:overlap:trail2,vote,5,288,1.5,2,24,trend_not_choppy,overlap,trail2,178.930000000004,0.35181892210610866,839,0.4265315852205101
vote:N5:W288:T1.5:V3:H6:none:all:none,vote,5,288,1.5,3,6,none,all,none,-1423.159999999996,-1.4682697617894904,12357,-0.2303406975803182
vote:N5:W288:T1.5:V3:H6:none:all:stop1_5,vote,5,288,1.5,3,6,none,all,stop1_5,-1423.159999999996,-1.4682697617894904,12357,-0.2303406975803182
vote:N5:W288:T1.5:V3:H6:none:all:trail2,vote,5,288,1.5,3,6,none,all,trail2,-1423.159999999996,-1.4682697617894904,12357,-0.2303406975803182
vote:N5:W288:T1.5:V3:H6:none:london:none,vote,5,288,1.5,3,6,none,london,none,-694.6599999999946,-0.9190699550965883,6574,-0.21133556434438536
vote:N5:W288:T1.5:V3:H6:none:london:stop1_5,vote,5,288,1.5,3,6,none,london,stop1_5,-694.6599999999946,-0.9190699550965883,6574,-0.21133556434438536
vote:N5:W288:T1.5:V3:H6:none:london:trail2,vote,5,288,1.5,3,6,none,london,trail2,-694.6599999999946,-0.9190699550965883,6574,-0.21133556434438536
vote:N5:W288:T1.5:V3:H6:none:new_york:none,vote,5,288,1.5,3,6,none,new_york,none,-722.2800000000043,-1.0117344692637027,4955,-0.29153582240161624
vote:N5:W288:T1.5:V3:H6:none:new_york:stop1_5,vote,5,288,1.5,3,6,none,new_york,stop1_5,-722.2800000000043,-1.0117344692637027,4955,-0.29153582240161624
vote:N5:W288:T1.5:V3:H6:none:new_york:trail2,vote,5,288,1.5,3,6,none,new_york,trail2,-722.2800000000043,-1.0117344692637027,4955,-0.29153582240161624
vote:N5:W288:T1.5:V3:H6:none:overlap:none,vote,5,288,1.5,3,6,none,overlap,none,-751.0499999999943,-1.1982627942970907,3097,-0.485017759121727
vote:N5:W288:T1.5:V3:H6:none:overlap:stop1_5,vote,5,288,1.5,3,6,none,overlap,stop1_5,-751.0499999999943,-1.1982627942970907,3097,-0.485017759121727
