entry_i,entry_time,side,oz,entry_px,entry_reason,entry_cost,entry_atr,best_px,exit_i,exit_time,exit_px,gross_pnl,costs,net_pnl,bars_held,exit_reason
120609,1748524800,1,1.0,3308.84,signal,0.08,,3308.84,120692,1748549700,3319.56,10.7199999999998,0.16,10.5599999999998,83,signal
121736,1749051600,1,1.0,3378.65,signal,0.08,,3378.65,121797,1749069900,3372.14,-6.510000000000218,0.16,-6.670000000000218,61,signal
122581,1749489900,1,1.0,3334.33,signal,0.08,,3334.33,122621,1749501900,3328.13,-6.199999999999818,0.16,-6.359999999999818,40,signal
122648,1749513900,1,1.0,3324.78,signal,0.08,,3324.78,122664,1749518700,3322.78,-2.0,0.16,-2.16,16,signal
122894,1749587700,1,1.0,3333.49,signal,0.08,,3333.49,122896,1749588300,3333.56,0.07000000000016371,0.16,-0.0899999999998363,2,signal
122923,1749600300,1,1.0,3324.1,signal,0.08,,3324.1,122977,1749616500,3341.07,16.970000000000255,0.16,16.810000000000258,54,signal
123085,1749648900,1,1.0,3355.67,signal,0.08,,3355.67,123168,1749673800,3345.13,-10.539999999999964,0.16,-10.699999999999964,83,signal
123641,1749823500,1,1.0,3439.19,signal,0.08,,3439.19,123719,1749846900,3434.69,-4.5,0.16,-4.66,78,signal
124992,1750430400,1,1.0,3364.26,signal,0.08,,3364.26,125063,1750451700,3368.24,3.9799999999995634,0.16,3.8199999999995633,71,signal
125246,1750683600,1,1.0,3380.76,signal,0.08,,3380.76,125329,1750708500,3380.39,-0.3700000000003456,0.16,-0.5300000000003456,83,signal
125613,1750797600,1,1.0,3323.82,signal,0.08,,3323.82,125614,1750797900,3324.68,0.8599999999996726,0.16,0.6999999999996727,1,signal
125641,1750809900,1,1.0,3322.51,signal,0.08,,3322.51,125696,1750826400,3328.73,6.2199999999998,0.16,6.0599999999998,55,signal
126077,1750944600,1,1.0,3342.99,signal,0.08,,3342.99,126160,1750969500,3329.65,-13.33999999999969,0.16,-13.499999999999691,83,signal
126707,1751314500,1,1.0,3303.15,signal,0.08,,3303.15,126713,1751316300,3305.9,2.75,0.16,2.59,6,signal
126740,1751328300,1,1.0,3310.23,signal,0.08,,3310.23,126790,1751343300,3317.39,7.1599999999998545,0.16,6.999999999999854,50,signal
127255,1751486700,1,1.0,3356.37,signal,0.08,,3356.37,127263,1751489100,3356.81,0.44000000000005457,0.16,0.28000000000005454,8,signal
127290,1751501100,1,1.0,3358.99,signal,0.08,,3358.99,127338,1751515500,3350.38,-8.609999999999673,0.16,-8.769999999999673,48,signal
128010,1751912100,1,1.0,3331.23,signal,0.08,,3331.23,128040,1751921100,3339.7,8.4699999999998,0.16,8.3099999999998,30,signal
128067,1751933100,1,1.0,3336.63,signal,0.08,,3336.63,128093,1751940900,3331.54,-5.0900000000001455,0.16,-5.250000000000146,26,signal
128857,1752177900,1,1.0,3322.61,signal,0.08,,3322.61,128865,1752180300,3323.4,0.7899999999999636,0.16,0.6299999999999637,8,signal
128892,1752192300,1,1.0,3323.68,signal,0.08,,3323.68,128940,1752206700,3333.42,9.740000000000236,0.16,9.580000000000236,48,signal
129909,1752682200,1,1.0,3351.39,signal,0.08,,3351.39,129964,1752698700,3347.07,-4.319999999999709,0.16,-4.479999999999709,55,signal
129991,1752710700,1,1.0,3349.25,signal,0.08,,3349.25,129992,1752711000,3349.11,-0.13999999999987267,0.16,-0.2999999999998727,1,signal
130695,1753102800,1,1.0,3375.38,signal,0.08,,3375.38,130778,1753127700,3394.46,19.079999999999927,0.16,18.91999999999993,83,signal
130975,1753190700,1,1.0,3400.08,signal,0.08,,3400.08,131058,1753215600,3431.66,31.579999999999927,0.16,31.41999999999993,83,signal
132189,1753747500,1,1.0,3313.18,signal,0.08,,3313.18,132247,1753764900,3314.21,1.0300000000002,0.16,0.8700000000002002,58,signal
133176,1754055300,1,1.0,3328.13,signal,0.08,,3328.13,133259,1754080200,3351.12,22.98999999999978,0.16,22.829999999999785,83,signal
133288,1754265900,1,1.0,3358.73,signal,0.08,,3358.73,133343,1754282400,3357.02,-1.7100000000000364,0.16,-1.8700000000000365,55,signal
133465,1754319000,1,1.0,3381.63,signal,0.08,,3381.63,133536,1754340300,3376.09,-5.539999999999964,0.16,-5.699999999999964,71,signal
133737,1754404500,1,1.0,3376.13,signal,0.08,,3376.13,133811,1754426700,3379.61,3.480000000000018,0.16,3.320000000000018,74,signal
134359,1754598900,1,1.0,3396.83,signal,0.08,,3396.83,134361,1754599500,3399.57,2.7400000000002365,0.16,2.5800000000002363,2,signal
134388,1754611500,1,1.0,3402.21,signal,0.08,,3402.21,134442,1754627700,3392.96,-9.25,0.16,-9.41,54,signal
134550,1754660100,1,1.0,3398.88,signal,0.08,,3398.88,134633,1754685000,3394.28,-4.599999999999909,0.16,-4.759999999999909,83,signal
135134,1755016200,1,1.0,3354.77,signal,0.08,,3354.77,135185,1755031500,3347.88,-6.889999999999873,0.16,-7.049999999999873,51,signal
135212,1755043500,1,1.0,3351.19,signal,0.08,,3351.19,135217,1755045000,3351.46,0.2699999999999818,0.16,0.10999999999998179,5,signal
136742,1755695100,1,1.0,3334.52,signal,0.08,,3334.52,136825,1755720000,3345.77,11.25,0.16,11.09,83,signal
137018,1755781800,1,1.0,3341.0,signal,0.08,,3341.0,137101,1755806700,3339.3,-1.699999999999818,0.16,-1.8599999999998182,83,signal
137316,1755875100,1,1.0,3348.03,signal,0.08,,3348.03,137382,1755894900,3369.74,21.70999999999958,0.16,21.549999999999585,66,signal
137926,1756239000,1,1.0,3387.79,signal,0.08,,3387.79,137933,1756241100,3389.04,1.25,0.16,1.0899999999999999,7,signal
137960,1756253100,1,1.0,3390.99,signal,0.08,,3390.99,138009,1756267800,3384.02,-6.9699999999998,0.16,-7.1299999999998,49,signal
138171,1756316400,1,1.0,3394.88,signal,0.08,,3394.88,138208,1756327500,3395.5,0.6199999999998909,0.16,0.4599999999998909,37,signal
138235,1756339500,1,1.0,3398.14,signal,0.08,,3398.14,138254,1756345200,3396.06,-2.0799999999999272,0.16,-2.2399999999999274,19,signal
138392,1756386600,1,1.0,3408.11,signal,0.08,,3408.11,138475,1756411500,3419.94,11.829999999999927,0.16,11.669999999999927,83,signal
138678,1756476300,1,1.0,3417.43,signal,0.08,,3417.43,138756,1756499700,3446.14,28.710000000000036,0.16,28.55000000000004,78,signal
139185,1756818300,1,1.0,3493.23,signal,0.08,,3493.23,139268,1756843200,3528.4,35.17000000000007,0.16,35.010000000000076,83,signal
139271,1756844100,1,1.0,3535.94,signal,0.08,,3535.94,139277,1756845900,3539.06,3.119999999999891,0.16,2.9599999999998907,6,signal
139304,1756857900,1,1.0,3530.25,signal,0.08,,3530.25,139354,1756872900,3530.92,0.6700000000000728,0.16,0.5100000000000728,50,signal
139738,1756992000,1,1.0,3547.63,signal,0.08,,3547.63,139821,1757016900,3547.47,-0.16000000000030923,0.16,-0.32000000000030926,83,signal
140016,1757079300,1,1.0,3577.24,signal,0.08,,3577.24,140099,1757104200,3593.67,16.43000000000029,0.16,16.270000000000294,83,signal
140296,1757340300,1,1.0,3625.86,signal,0.08,,3625.86,140376,1757364300,3635.77,9.909999999999854,0.16,9.749999999999854,80,signal
141115,1757597700,1,1.0,3638.95,signal,0.08,,3638.95,141198,1757622600,3634.79,-4.1599999999998545,0.16,-4.319999999999855,83,signal
141677,1757947200,1,1.0,3661.85,signal,0.08,,3661.85,141750,1757969100,3682.16,20.309999999999945,0.16,20.14999999999995,73,signal
142827,1758307800,1,1.0,3676.77,signal,0.08,,3676.77,142848,1758314100,3681.76,4.9900000000002365,0.16,4.830000000000236,21,signal
142876,1758499500,1,1.0,3688.56,signal,0.08,,3688.56,142910,1758509700,3687.64,-0.9200000000000728,0.16,-1.080000000000073,34,signal
143554,1758710700,-1,1.0,3767.86,signal,0.08,,3767.86,143637,1758735600,3739.82,28.039999999999964,0.16,27.879999999999967,83,signal
143936,1758829200,1,1.0,3755.18,signal,0.08,,3755.18,143949,1758833100,3747.48,-7.699999999999818,0.16,-7.859999999999818,13,signal
143976,1758845100,1,1.0,3749.51,signal,0.08,,3749.51,144019,1758858000,3741.7,-7.8100000000004,0.16,-7.9700000000004,43,signal
144087,1758878400,-1,1.0,3750.13,signal,0.08,,3750.13,144157,1758899400,3774.38,-24.25,0.16,-24.409999999999997,70,signal
144157,1758899400,1,1.0,3774.38,signal,0.08,,3774.38,144222,1758918900,3770.91,-3.4700000000002547,0.16,-3.630000000000255,65,signal
144366,1759139100,-1,1.0,3816.34,signal,0.08,,3816.34,144405,1759150800,3828.95,-12.609999999999673,0.16,-12.769999999999673,39,signal
144405,1759150800,1,1.0,3828.95,signal,0.08,,3828.95,144429,1759158000,3821.42,-7.529999999999745,0.16,-7.6899999999997455,24,signal
144429,1759158000,-1,1.0,3821.42,signal,0.08,,3821.42,144498,1759178700,3829.49,-8.069999999999709,0.16,-8.229999999999709,69,signal
144635,1759223700,-1,1.0,3837.94,signal,0.08,,3837.94,144707,1759245300,3843.8,-5.860000000000127,0.16,-6.0200000000001275,72,signal
144707,1759245300,1,1.0,3843.8,signal,0.08,,3843.8,144773,1759265100,3855.09,11.289999999999964,0.16,11.129999999999963,66,signal
144896,1759305900,-1,1.0,3861.23,signal,0.08,,3861.23,144979,1759330800,3872.94,-11.710000000000036,0.16,-11.870000000000037,83,signal
144983,1759332000,-1,1.0,3872.99,signal,0.08,,3872.99,145048,1759351500,3869.17,3.819999999999709,0.16,3.659999999999709,65,signal
145273,1759422900,-1,1.0,3828.74,signal,0.08,,3828.74,145323,1759437900,3856.24,-27.5,0.16,-27.659999999999997,50,signal
145350,1759449900,-1,1.0,3858.22,signal,0.08,,3858.22,145356,1759451700,3859.93,-1.7100000000000364,0.16,-1.8700000000000365,6,signal
145522,1759501500,1,1.0,3882.53,signal,0.08,,3882.53,145551,1759510200,3887.03,4.5,0.16,4.34,29,signal
145551,1759510200,-1,1.0,3887.03,signal,0.08,,3887.03,145596,1759523700,3887.84,-0.8099999999999454,0.16,-0.9699999999999454,45,signal
145624,1759709100,-1,1.0,3918.18,signal,0.08,,3918.18,145634,1759712100,3908.95,9.230000000000018,0.16,9.070000000000018,10,signal
145722,1759738500,-1,1.0,3934.87,signal,0.08,,3934.87,145805,1759763400,3948.41,-13.539999999999964,0.16,-13.699999999999964,83,signal
145992,1759823400,-1,1.0,3959.66,signal,0.08,,3959.66,146068,1759846200,3984.64,-24.980000000000018,0.16,-25.140000000000015,76,signal
146068,1759846200,1,1.0,3984.64,signal,0.08,,3984.64,146147,1759869900,3980.75,-3.8899999999998727,0.16,-4.049999999999873,79,signal
146329,1759928400,-1,1.0,4038.07,signal,0.08,,4038.07,146412,1759953300,4049.03,-10.960000000000036,0.16,-11.120000000000037,83,signal
146551,1759998900,-1,1.0,4028.67,signal,0.08,,4028.67,146634,1760023800,4006.66,22.01000000000022,0.16,21.85000000000022,83,signal
146643,1760026500,-1,1.0,4025.37,signal,0.08,,4025.37,146697,1760042700,3979.09,46.279999999999745,0.16,46.11999999999975,54,signal
146724,1760054700,-1,1.0,3975.64,signal,0.08,,3975.64,146726,1760055300,3975.05,0.5899999999996908,0.16,0.4299999999996908,2,signal
146824,1760084700,-1,1.0,3963.18,signal,0.08,,3963.18,146907,1760109600,3984.56,-21.38000000000011,0.16,-21.540000000000106,83,signal
147101,1760344800,-1,1.0,4072.19,signal,0.08,,4072.19,147184,1760369700,4097.34,-25.15000000000009,0.16,-25.310000000000088,83,signal
147204,1760375700,1,1.0,4115.77,signal,0.08,,4115.77,147246,1760388300,4105.15,-10.6200000000008,0.16,-10.7800000000008,42,signal
147273,1760400300,1,1.0,4115.07,signal,0.08,,4115.07,147287,1760404500,4123.28,8.210000000000036,0.16,8.050000000000036,14,signal
147373,1760430300,-1,1.0,4121.59,signal,0.08,,4121.59,147456,1760455200,4130.36,-8.769999999999527,0.16,-8.929999999999527,83,signal
147683,1760527200,-1,1.0,4202.8,signal,0.08,,4202.8,147766,1760552100,4185.5,17.300000000000182,0.16,17.140000000000185,83,signal
147914,1760600400,-1,1.0,4222.46,signal,0.08,,4222.46,147997,1760625300,4248.19,-25.729999999999563,0.16,-25.88999999999956,83,signal
148194,1760688300,-1,1.0,4353.3,signal,0.08,,4353.3,148277,1760713200,4273.8,79.5,0.16,79.34,83,signal
148288,1760716500,-1,1.0,4259.87,signal,0.08,,4259.87,148344,1760733300,4227.04,32.82999999999993,0.16,32.66999999999993,56,signal
148464,1760946300,-1,1.0,4234.19,signal,0.08,,4234.19,148531,1760966400,4293.16,-58.970000000000255,0.16,-59.13000000000025,67,signal
148531,1760966400,1,1.0,4293.16,signal,0.08,,4293.16,148614,1760991300,4366.33,73.17000000000007,0.16,73.01000000000008,83,signal
148730,1761030000,-1,1.0,4323.17,signal,0.08,,4323.17,148813,1761054900,4207.77,115.39999999999964,0.16,115.23999999999964,83,signal
148818,1761056400,-1,1.0,4203.8,signal,0.08,,4203.8,148895,1761079500,4110.54,93.26000000000022,0.16,93.10000000000022,77,signal
149041,1761127200,-1,1.0,4070.54,signal,0.08,,4070.54,149124,1761152100,4038.48,32.059999999999945,0.16,31.89999999999995,83,signal
149167,1761165000,1,1.0,4105.46,signal,0.08,,4105.46,149170,1761165900,4103.3,-2.1599999999998545,0.16,-2.3199999999998546,3,signal
149197,1761177900,1,1.0,4101.55,signal,0.08,,4101.55,149250,1761193800,4095.42,-6.130000000000109,0.16,-6.290000000000109,53,signal
149307,1761210900,-1,1.0,4111.33,signal,0.08,,4111.33,149370,1761229800,4147.29,-35.960000000000036,0.16,-36.12000000000003,63,signal
149370,1761229800,1,1.0,4147.29,signal,0.08,,4147.29,149445,1761252300,4119.78,-27.51000000000022,0.16,-27.670000000000215,75,signal
149555,1761289200,-1,1.0,4104.44,signal,0.08,,4104.44,149634,1761312900,4089.39,15.049999999999727,0.16,14.889999999999727,79,signal
149634,1761312900,1,1.0,4089.39,signal,0.08,,4089.39,149717,1761337800,4113.05,23.66000000000031,0.16,23.500000000000313,83,signal
149855,1761556200,-1,1.0,4065.97,signal,0.08,,4065.97,149938,1761581100,3980.24,85.73000000000002,0.16,85.57000000000002,83,signal
