entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
20403,1703691000,1,1.0,2077.08,20486,1703710500,2077.57,0.49000000000023647,0.16,0.33000000000023644,session,64
21552,1704310500,1,1.0,2039.53,21635,1704315300,2041.71,2.1800000000000637,0.16,2.0200000000000635,session,15
21592,1704326400,1,1.0,2042.98,21635,1704339600,2046.57,3.589999999999918,0.16,3.429999999999918,signal,44
22048,1704467100,1,1.0,2057.44,22131,1704487500,2043.72,-13.720000000000027,0.16,-13.880000000000027,session,67
22581,1704807600,1,1.0,2038.46,22664,1704832800,2028.93,-9.529999999999973,0.16,-9.689999999999973,signal,84
23128,1704979500,1,1.0,2038.99,23211,1705004700,2025.66,-13.329999999999927,0.16,-13.489999999999927,signal,84
23405,1705066500,1,1.0,2052.37,23488,1705091700,2046.58,-5.789999999999964,0.16,-5.949999999999964,signal,84
23931,1705412700,1,1.0,2043.13,24014,1705437900,2028.6,-14.5300000000002,0.16,-14.6900000000002,signal,84
25376,1706038500,1,1.0,2029.71,25459,1706043300,2028.74,-0.9700000000000273,0.16,-1.1300000000000272,session,15
25416,1706054400,1,1.0,2029.31,25459,1706067600,2024.54,-4.769999999999982,0.16,-4.929999999999982,signal,44
26406,1706535900,1,1.0,2035.25,26489,1706561100,2031.85,-3.400000000000091,0.16,-3.560000000000091,signal,84
26686,1706623800,1,1.0,2040.78,26769,1706648100,2036.07,-4.710000000000036,0.16,-4.8700000000000365,session,80
26962,1706710500,1,1.0,2044.28,27045,1706734500,2033.77,-10.509999999999991,0.16,-10.669999999999991,session,79
27230,1706794800,1,1.0,2040.23,27313,1706820000,2054.93,14.699999999999818,0.16,14.539999999999818,signal,84
28049,1707225000,1,1.0,2029.65,28132,1707250200,2036.9,7.25,0.16,7.09,signal,84
28343,1707317100,1,1.0,2040.42,28426,1707339300,2034.77,-5.650000000000091,0.16,-5.810000000000091,session,73
28616,1707402900,1,1.0,2031.08,28699,1707425700,2032.84,1.759999999999991,0.16,1.599999999999991,session,75
28879,1707485700,1,1.0,2032.42,28962,1707510900,2025.44,-6.980000000000018,0.16,-7.140000000000018,signal,84
