timestamp,datetime_utc,open,high,low,close
1731486600,2024-11-13 08:30:00,2604.8,2610.72,2604.63,2608.93
1731487500,2024-11-13 08:45:00,2608.94,2610.52,2607.46,2607.65
1731488400,2024-11-13 09:00:00,2607.66,2610.36,2607.33,2609.61
1731489300,2024-11-13 09:15:00,2609.61,2610.58,2607.81,2609.67
1731490200,2024-11-13 09:30:00,2609.69,2611.74,2608.51,2609.6
1731491100,2024-11-13 09:45:00,2609.61,2610.87,2608.06,2608.59
1731492000,2024-11-13 10:00:00,2608.59,2608.97,2607.2,2607.71
1731492900,2024-11-13 10:15:00,2607.71,2610.02,2607.0,2609.94
1731493800,2024-11-13 10:30:00,2609.95,2610.51,2607.05,2607.17
1731494700,2024-11-13 10:45:00,2607.17,2610.39,2607.12,2609.12
1731495600,2024-11-13 11:00:00,2609.12,2611.68,2608.2,2609.65
1731496500,2024-11-13 11:15:00,2609.65,2610.25,2608.32,2608.73
1731497400,2024-11-13 11:30:00,2608.73,2608.73,2605.88,2608.45
1731498300,2024-11-13 11:45:00,2608.45,2610.89,2607.74,2610.83
1731499200,2024-11-13 12:00:00,2610.83,2612.72,2610.45,2611.48
1731500100,2024-11-13 12:15:00,2611.48,2611.89,2609.87,2610.67
1731501000,2024-11-13 12:30:00,2610.67,2611.63,2609.62,2610.96
1731501900,2024-11-13 12:45:00,2610.96,2611.53,2608.94,2609.63
1731502800,2024-11-13 13:00:00,2609.63,2611.06,2607.52,2608.1
1731503700,2024-11-13 13:15:00,2608.1,2609.63,2607.18,2608.52
1731504600,2024-11-13 13:30:00,2608.38,2618.87,2608.38,2609.48
1731505500,2024-11-13 13:45:00,2609.42,2614.16,2608.05,2612.33
1731506400,2024-11-13 14:00:00,2612.3,2616.4,2611.0,2615.7
1731507300,2024-11-13 14:15:00,2615.69,2615.95,2611.66,2613.35
1731508200,2024-11-13 14:30:00,2613.34,2615.19,2606.16,2609.98
1731509100,2024-11-13 14:45:00,2609.97,2609.98,2601.06,2602.07
1731510000,2024-11-13 15:00:00,2602.08,2603.05,2593.65,2596.28
1731510900,2024-11-13 15:15:00,2596.28,2600.4,2595.93,2597.27
1731511800,2024-11-13 15:30:00,2597.27,2601.75,2596.95,2601.05
1731512700,2024-11-13 15:45:00,2601.06,2606.82,2599.77,2605.41
1731513600,2024-11-13 16:00:00,2605.37,2605.96,2601.49,2601.92
1731514500,2024-11-13 16:15:00,2601.92,2601.92,2595.69,2595.69
1731515400,2024-11-13 16:30:00,2595.72,2596.6,2587.37,2590.21
1731516300,2024-11-13 16:45:00,2590.21,2592.96,2584.76,2585.82
1731517200,2024-11-13 17:00:00,2585.82,2586.81,2579.78,2582.03
1731518100,2024-11-13 17:15:00,2582.04,2583.59,2577.6,2578.71
1731519000,2024-11-13 17:30:00,2578.72,2584.64,2578.72,2582.09
1731519900,2024-11-13 17:45:00,2582.09,2585.17,2581.69,2583.32
1731520800,2024-11-13 18:00:00,2583.36,2585.45,2582.27,2584.59
1731521700,2024-11-13 18:15:00,2584.59,2584.6,2579.83,2580.59
1731522600,2024-11-13 18:30:00,2580.59,2584.0,2580.15,2581.58
1731523500,2024-11-13 18:45:00,2581.58,2583.95,2579.58,2582.79
1731524400,2024-11-13 19:00:00,2582.79,2583.15,2580.69,2582.74
1731525300,2024-11-13 19:15:00,2582.74,2584.93,2581.52,2584.4
1731526200,2024-11-13 19:30:00,2584.41,2584.68,2582.49,2583.07
1731527100,2024-11-13 19:45:00,2583.07,2583.75,2580.58,2581.02
1731528000,2024-11-13 20:00:00,2581.02,2581.2,2574.66,2577.12
1731528900,2024-11-13 20:15:00,2577.12,2578.49,2575.36,2575.84
1731529800,2024-11-13 20:30:00,2575.85,2576.8,2573.85,2575.18
1731530700,2024-11-13 20:45:00,2575.18,2576.1,2573.02,2573.83
1731531600,2024-11-13 21:00:00,2573.89,2577.18,2573.6,2576.0
1731532500,2024-11-13 21:15:00,2576.0,2576.45,2575.42,2576.08
1731533400,2024-11-13 21:30:00,2576.08,2576.08,2574.75,2575.15
1731534300,2024-11-13 21:45:00,2575.15,2575.27,2572.65,2572.83
1731538800,2024-11-13 23:00:00,2574.06,2575.9,2573.5,2575.62
1731539700,2024-11-13 23:15:00,2575.62,2581.32,2575.32,2580.98
1731540600,2024-11-13 23:30:00,2580.98,2581.31,2569.38,2572.3
1731541500,2024-11-13 23:45:00,2572.27,2572.76,2569.27,2570.98
1731542400,2024-11-14 00:00:00,2570.98,2573.05,2570.98,2572.94
1731543300,2024-11-14 00:15:00,2572.93,2574.71,2572.29,2573.72
1731544200,2024-11-14 00:30:00,2573.72,2574.0,2571.19,2572.12
1731545100,2024-11-14 00:45:00,2572.13,2572.7,2569.59,2572.55
1731546000,2024-11-14 01:00:00,2572.55,2572.91,2564.83,2567.94
1731546900,2024-11-14 01:15:00,2567.86,2569.57,2565.67,2569.15
1731547800,2024-11-14 01:30:00,2569.15,2570.19,2565.55,2566.93
1731548700,2024-11-14 01:45:00,2566.99,2567.34,2561.64,2562.6
1731549600,2024-11-14 02:00:00,2562.6,2564.52,2560.68,2563.36
1731550500,2024-11-14 02:15:00,2563.36,2564.65,2561.26,2561.94
1731551400,2024-11-14 02:30:00,2561.96,2562.61,2559.0,2559.53
1731552300,2024-11-14 02:45:00,2559.53,2560.79,2559.01,2560.6
1731553200,2024-11-14 03:00:00,2560.6,2563.74,2559.95,2563.64
1731554100,2024-11-14 03:15:00,2563.64,2565.07,2561.51,2561.56
1731555000,2024-11-14 03:30:00,2561.52,2562.89,2560.71,2560.73
1731555900,2024-11-14 03:45:00,2560.73,2561.76,2560.09,2560.73
1731556800,2024-11-14 04:00:00,2560.73,2561.38,2559.36,2561.02
1731557700,2024-11-14 04:15:00,2561.02,2563.19,2560.68,2562.95
1731558600,2024-11-14 04:30:00,2562.95,2562.95,2560.33,2561.77
1731559500,2024-11-14 04:45:00,2561.77,2565.31,2561.43,2565.2
1731560400,2024-11-14 05:00:00,2565.19,2565.22,2561.95,2562.07
1731561300,2024-11-14 05:15:00,2562.07,2562.61,2559.11,2559.98
1731562200,2024-11-14 05:30:00,2559.98,2560.45,2555.38,2556.25
1731563100,2024-11-14 05:45:00,2556.26,2558.96,2555.94,2558.65
1731564000,2024-11-14 06:00:00,2558.65,2560.54,2557.6,2558.14
1731564900,2024-11-14 06:15:00,2558.17,2559.39,2557.58,2557.79
1731565800,2024-11-14 06:30:00,2557.8,2558.15,2553.91,2555.17
1731566700,2024-11-14 06:45:00,2555.18,2555.42,2551.95,2555.16
1731567600,2024-11-14 07:00:00,2555.17,2557.02,2550.42,2550.96
1731568500,2024-11-14 07:15:00,2550.95,2554.98,2550.54,2554.87
1731569400,2024-11-14 07:30:00,2554.85,2558.9,2554.3,2556.11
1731570300,2024-11-14 07:45:00,2556.12,2558.67,2555.99,2556.96
1731571200,2024-11-14 08:00:00,2556.97,2559.85,2554.6,2557.15
1731572100,2024-11-14 08:15:00,2557.15,2558.0,2554.95,2555.68
1731573000,2024-11-14 08:30:00,2555.72,2558.85,2555.3,2557.54
1731573900,2024-11-14 08:45:00,2557.52,2557.79,2554.58,2556.25
1731574800,2024-11-14 09:00:00,2556.24,2558.37,2553.03,2554.68
1731575700,2024-11-14 09:15:00,2554.68,2554.86,2551.54,2552.23
1731576600,2024-11-14 09:30:00,2552.21,2552.24,2540.97,2543.69
1731577500,2024-11-14 09:45:00,2543.69,2544.47,2536.86,2543.57
1731578400,2024-11-14 10:00:00,2543.57,2544.7,2539.09,2544.62
1731579300,2024-11-14 10:15:00,2544.62,2545.71,2540.69,2545.67
1731580200,2024-11-14 10:30:00,2545.61,2548.02,2543.38,2544.84
1731581100,2024-11-14 10:45:00,2544.84,2547.36,2544.15,2547.11
1731582000,2024-11-14 11:00:00,2547.14,2548.53,2545.31,2547.42
1731582900,2024-11-14 11:15:00,2547.43,2548.21,2545.21,2545.9
1731583800,2024-11-14 11:30:00,2545.9,2552.23,2545.88,2552.23
1731584700,2024-11-14 11:45:00,2552.23,2555.01,2551.88,2553.69
1731585600,2024-11-14 12:00:00,2553.69,2555.19,2552.26,2554.43
1731586500,2024-11-14 12:15:00,2554.43,2556.91,2553.49,2556.16
1731587400,2024-11-14 12:30:00,2556.16,2556.58,2553.2,2553.69
1731588300,2024-11-14 12:45:00,2553.64,2554.05,2550.08,2552.29
1731589200,2024-11-14 13:00:00,2552.3,2555.76,2551.32,2555.24
1731590100,2024-11-14 13:15:00,2555.18,2557.05,2553.55,2555.55
1731591000,2024-11-14 13:30:00,2555.55,2560.25,2551.75,2558.05
1731591900,2024-11-14 13:45:00,2558.14,2559.8,2555.73,2557.14
1731592800,2024-11-14 14:00:00,2557.13,2558.73,2554.33,2557.84
1731593700,2024-11-14 14:15:00,2557.84,2563.93,2557.33,2563.01
1731594600,2024-11-14 14:30:00,2563.07,2565.93,2560.77,2561.64
1731595500,2024-11-14 14:45:00,2561.68,2563.44,2557.67,2559.76
1731596400,2024-11-14 15:00:00,2559.76,2568.64,2558.65,2566.67
1731597300,2024-11-14 15:15:00,2566.66,2572.77,2564.66,2570.58
1731598200,2024-11-14 15:30:00,2570.58,2572.98,2565.83,2567.21
1731599100,2024-11-14 15:45:00,2567.2,2570.49,2566.68,2570.28
1731600000,2024-11-14 16:00:00,2570.28,2572.84,2569.26,2571.7
1731600900,2024-11-14 16:15:00,2571.7,2576.7,2571.37,2575.66
1731601800,2024-11-14 16:30:00,2575.67,2577.44,2574.01,2574.57
1731602700,2024-11-14 16:45:00,2574.57,2575.35,2571.93,2573.95
1731603600,2024-11-14 17:00:00,2573.95,2575.92,2572.21,2572.35
1731604500,2024-11-14 17:15:00,2572.35,2572.36,2568.49,2568.83
1731605400,2024-11-14 17:30:00,2568.83,2570.87,2568.29,2568.38
1731606300,2024-11-14 17:45:00,2568.43,2573.39,2567.47,2572.95
1731607200,2024-11-14 18:00:00,2572.95,2573.53,2569.94,2570.76
1731608100,2024-11-14 18:15:00,2570.76,2571.48,2567.14,2567.85
1731609000,2024-11-14 18:30:00,2567.86,2571.1,2567.83,2570.58
1731609900,2024-11-14 18:45:00,2570.58,2571.1,2569.06,2569.88
1731610800,2024-11-14 19:00:00,2569.88,2574.63,2569.85,2573.82
1731611700,2024-11-14 19:15:00,2573.81,2575.75,2573.81,2574.64
1731612600,2024-11-14 19:30:00,2574.64,2576.11,2574.26,2576.0
1731613500,2024-11-14 19:45:00,2576.0,2576.97,2575.04,2576.0
1731614400,2024-11-14 20:00:00,2576.0,2576.45,2563.93,2566.37
1731615300,2024-11-14 20:15:00,2566.42,2573.24,2566.37,2572.65
1731616200,2024-11-14 20:30:00,2572.64,2574.29,2567.16,2568.48
1731617100,2024-11-14 20:45:00,2568.48,2568.65,2565.32,2567.38
1731618000,2024-11-14 21:00:00,2567.37,2569.67,2567.33,2568.39
1731618900,2024-11-14 21:15:00,2568.32,2569.25,2565.42,2565.47
1731619800,2024-11-14 21:30:00,2565.43,2566.27,2564.18,2566.03
1731620700,2024-11-14 21:45:00,2566.03,2566.55,2564.65,2564.65
1731625200,2024-11-14 23:00:00,2566.46,2566.85,2565.82,2565.96
1731626100,2024-11-14 23:15:00,2565.96,2566.6,2565.82,2566.26
1731627000,2024-11-14 23:30:00,2566.26,2567.2,2566.17,2566.69
1731627900,2024-11-14 23:45:00,2566.69,2567.41,2566.25,2566.98
1731628800,2024-11-15 00:00:00,2566.98,2567.2,2566.34,2567.07
